phrase,meaning_ja,example_sentence,translated_sentence,source_url,error,deepl_filled_fields
medical assistance,医療扶助,Many people in rural areas lack access to essential medical assistance.,多くの地方の人々は、必要不可欠な医療支援へのアクセスが不足しています。,https://ejje.weblio.jp/content/medical%20assistance,,
medical treatment,治療、医学的処置,Advances in technology have revolutionized many aspects of medical treatment.,技術の進歩は、医療処置の多くの側面を革新しました。,https://ejje.weblio.jp/content/medical%20treatment,,
meet criteria,基準を満たす,All products must meet criteria for safety and environmental protection.,すべての製品は、安全性と環境保護の基準を満たす必要があります。,https://ejje.weblio.jp/content/meet%20criteria,404 Client Error: 404 for url: https://ejje.weblio.jp/content/meet%20criteria,meaning_ja
meet expectations,希望に沿う、期待に沿う；期待にこたえる,The new product aims to meet expectations for both quality and performance.,新製品は、品質と性能の両方で期待に応えることを目指しています。,https://ejje.weblio.jp/content/meet%20expectations,,
meet a requirement,要件を満たす,"To graduate, students must meet a requirement of completing a capstone project.",卒業するには、学生はキャップストーンプロジェクトを完了するという要件を満たす必要があります。,https://ejje.weblio.jp/content/meet%20a%20requirement,404 Client Error: 404 for url: https://ejje.weblio.jp/content/meet%20a%20requirement,meaning_ja
meet a target,目標を達成する,The sales team worked hard to meet a target of increased revenue this quarter.,営業チームは、今四半期の増収目標を達成するために懸命に働きました。,https://ejje.weblio.jp/content/meet%20a%20target,404 Client Error: 404 for url: https://ejje.weblio.jp/content/meet%20a%20target,meaning_ja
meet an objective,目標を達成する,The project successfully managed to meet an objective of reducing operational costs.,そのプロジェクトは、運用コスト削減という目標を達成することに成功しました。,https://ejje.weblio.jp/content/meet%20an%20objective,404 Client Error: 404 for url: https://ejje.weblio.jp/content/meet%20an%20objective,meaning_ja
mental health,メンタルヘルス、精神保健、心の健康,Promoting mental health awareness is vital for overall community well-being.,精神的健康への意識を高めることは、地域全体の幸福にとって不可欠です。,https://ejje.weblio.jp/content/mental%20health,,
mental illness,心の病,Stigma associated with mental illness often prevents individuals from seeking help.,精神疾患に関連する偏見は、しばしば個人が助けを求めることを妨げます。,https://ejje.weblio.jp/content/mental%20illness,,
mental state,心理状態; 心境; 精神状態,Stress can significantly affect an individual's mental state and productivity.,ストレスは、個人の精神状態と生産性に大きな影響を与える可能性があります。,https://ejje.weblio.jp/content/mental%20state,,translated_sentence
methodological approach,方法論的アプローチ,The study adopted a mixed-methods methodological approach for comprehensive analysis.,その研究は、包括的な分析のために混合法的な方法論的アプローチを採用しました。,https://ejje.weblio.jp/content/methodological%20approach,404 Client Error: 404 for url: https://ejje.weblio.jp/content/methodological%20approach,meaning_ja
methodological issue,方法論上の問題,The researchers discussed a methodological issue regarding data collection techniques.,研究者たちは、データ収集技術に関する方法論上の問題を議論しました。,https://ejje.weblio.jp/content/methodological%20issue,404 Client Error: 404 for url: https://ejje.weblio.jp/content/methodological%20issue,meaning_ja
methodological problem,方法論上の問題,Addressing this methodological problem is crucial for the validity of the findings.,この方法論上の問題に対処することは、研究結果の妥当性にとって極めて重要です。,https://ejje.weblio.jp/content/methodological%20problem,404 Client Error: 404 for url: https://ejje.weblio.jp/content/methodological%20problem,meaning_ja
metropolitan area,都内,Housing prices in the metropolitan area have risen sharply in recent years.,メトロポリタンエリアの住宅価格は、近年急激に上昇しています。,https://ejje.weblio.jp/content/metropolitan%20area,,
middle income,中所得層,Policies are often designed to support families in the middle income bracket.,政策はしばしば、中所得層の家庭を支援するように設計されています。,https://ejje.weblio.jp/content/middle%20income,404 Client Error: 404 for url: https://ejje.weblio.jp/content/middle%20income,meaning_ja
middle management,中間管理職,Middle management plays a key role in implementing organizational strategies.,中間管理職は、組織戦略の実行において重要な役割を果たします。,https://ejje.weblio.jp/content/middle%20management,,meaning_ja
migrant worker,出稼ぎ人; 出稼ぎ労働者,The welfare and rights of migrant worker populations are a growing concern.,出稼ぎ労働者人口の福祉と権利は、ますます懸念されています。,https://ejje.weblio.jp/content/migrant%20worker,,
military action,軍事行動,The international community debated the necessity of military action in the region.,国際社会は、その地域における軍事行動の必要性について議論しました。,https://ejje.weblio.jp/content/military%20action,,
military force,武力; 軍事力,The nation decided to deploy its military force to maintain stability.,その国は、安定を維持するために軍事力を展開することを決定しました。,https://ejje.weblio.jp/content/military%20force,,
military power,戦力; 軍事力; 兵力; 軍事大国,The balance of military power is a critical aspect of international relations.,軍事力の均衡は、国際関係の重要な側面です。,https://ejje.weblio.jp/content/military%20power,,
military service,兵役,Some countries still require citizens to perform mandatory military service.,一部の国では、依然として市民に義務的な兵役を課しています。,https://ejje.weblio.jp/content/military%20service,,
minimum level,最低水準,The system must maintain a minimum level of security against cyber threats.,システムは、サイバー脅威に対して最低限のセキュリティレベルを維持する必要があります。,https://ejje.weblio.jp/content/minimum%20level,,
minimum requirement,最低限必要な,Meeting the minimum requirement for the course is not sufficient for excellence.,そのコースの最低要件を満たすだけでは、優秀とは言えません。,https://ejje.weblio.jp/content/minimum%20requirement,,
minimum standard,最低基準,All products must meet a minimum standard of quality to be approved.,すべての製品は、承認されるために最低限の品質基準を満たす必要があります。,https://ejje.weblio.jp/content/minimum%20standard,,
minimum value,最低値、最小値,The analysis determined the minimum value required for optimal performance.,その分析は、最適なパフォーマンスに必要な最小値を決定しました。,https://ejje.weblio.jp/content/minimum%20value,,
minimum wage,最低賃金,Debates continue over the appropriate level of the minimum wage.,最低賃金の適切な水準について議論が続いています。,https://ejje.weblio.jp/content/minimum%20wage,,
minor change,仕様の若干の変更,The proposed minor change to the policy will have little impact.,提案された政策への小さな変更は、ほとんど影響を与えないでしょう。,https://ejje.weblio.jp/content/minor%20change,,
minor role,脇役、傍役、わき役、端役、端役,"While important, the department plays only a minor role in overall strategy.",重要ではあるものの、その部署は全体戦略において脇役を演じているにすぎません。,https://ejje.weblio.jp/content/minor%20role,,
minority group,少数派,Protecting the rights of every minority group is a fundamental principle.,すべての少数派グループの権利を保護することは、基本的な原則です。,https://ejje.weblio.jp/content/minority%20group,,
missing data,欠陥データ; 欠測値,The presence of missing data can significantly affect the reliability of research findings.,欠損データの存在は、研究結果の信頼性に大きな影響を与える可能性があります。,https://ejje.weblio.jp/content/missing%20data,,
modern culture,現代文化,Social media has become an integral part of modern culture and communication.,ソーシャルメディアは、現代文化とコミュニケーションの不可欠な一部となっています。,https://ejje.weblio.jp/content/modern%20culture,404 Client Error: 404 for url: https://ejje.weblio.jp/content/modern%20culture,meaning_ja
modern method,現代的な手法,The new factory employs a modern method of production for efficiency.,新しい工場は、効率化のために現代的な生産方法を採用しています。,https://ejje.weblio.jp/content/modern%20method,404 Client Error: 404 for url: https://ejje.weblio.jp/content/modern%20method,meaning_ja
modern society,現代社会; 近代社会,Digital literacy is increasingly essential for navigating modern society.,デジタルリテラシーは、現代社会を生き抜く上でますます不可欠になっています。,https://ejje.weblio.jp/content/modern%20society,,
modern technology,近代技術; 現代技術; 最新技術,Modern technology has transformed industries and improved daily life globally.,現代技術は産業を変革し、世界中の日常生活を向上させました。,https://ejje.weblio.jp/content/modern%20technology,,
modified form,修正された形式,The original proposal was presented in a modified form after feedback.,元の提案は、フィードバック後に修正された形で提示されました。,https://ejje.weblio.jp/content/modified%20form,404 Client Error: 404 for url: https://ejje.weblio.jp/content/modified%20form,meaning_ja
modified version,修正版,We are releasing a modified version of the software with enhanced features.,強化された機能を備えたソフトウェアの修正版をリリースします。,https://ejje.weblio.jp/content/modified%20version,,meaning_ja
moral dilemma,道徳的ジレンマ,Leaders often face a moral dilemma when making difficult decisions.,リーダーは困難な決定を下す際に、しばしば道徳的ジレンマに直面します。,https://ejje.weblio.jp/content/moral%20dilemma,,meaning_ja
moral philosophy,道学,Ethics is a central branch of moral philosophy exploring human values.,倫理学は、人間の価値を探求する道徳哲学の中心的な分野です。,https://ejje.weblio.jp/content/moral%20philosophy,,
moral principle,大道,Integrity is a fundamental moral principle in professional conduct.,誠実さは、専門職の行動における基本的な道徳原則です。,https://ejje.weblio.jp/content/moral%20principle,,
multiple identities,複数のアイデンティティ,Individuals in a globalized world often navigate multiple identities.,グローバル化された世界では、個人はしばしば複数のアイデンティティを使い分けています。,https://ejje.weblio.jp/content/multiple%20identities,,meaning_ja
multiple sources,複数情報源,The research gathered data from multiple sources to ensure validity.,その研究は、妥当性を確保するために複数の情報源からデータを収集しました。,https://ejje.weblio.jp/content/multiple%20sources,,
municipal government,市政、市政、市政,The municipal government announced plans for new public transportation routes.,市当局は、新しい公共交通機関路線の計画を発表しました。,https://ejje.weblio.jp/content/municipal%20government,,
mutual recognition,認識を合わせる；認識合わせ,Achieving mutual recognition of professional qualifications facilitates international trade.,専門資格の相互承認を達成することは、国際貿易を促進します。,https://ejje.weblio.jp/content/mutual%20recognition,,
mutual support,相互支援,Building strong teams requires a culture of mutual support and respect.,強力なチームを築くには、相互支援と尊敬の文化が必要です。,https://ejje.weblio.jp/content/mutual%20support,,
mutual trust,信じ合うこと,Effective collaboration relies heavily on mutual trust among team members.,効果的な協力は、チームメンバー間の相互信頼に大きく依存します。,https://ejje.weblio.jp/content/mutual%20trust,,
mutual understanding,意思の疎通、意志の疎通、意思の疏通、意志の疏通、意思疎通、相互理解、意思の疎通,Open communication is key to fostering mutual understanding in any relationship.,オープンなコミュニケーションは、あらゆる関係において相互理解を育む鍵です。,https://ejje.weblio.jp/content/mutual%20understanding,,
mutually exclusive,相互排他的な、相互排他の,These two theories are often considered mutually exclusive in their explanations.,これら二つの理論は、その説明においてしばしば相互排他的であると考えられています。,https://ejje.weblio.jp/content/mutually%20exclusive,,
narrow definition,狭義の定義,The study used a narrow definition of the term for specific analysis.,その研究は、特定の分析のためにその用語の狭い定義を使用しました。,https://ejje.weblio.jp/content/narrow%20definition,404 Client Error: 404 for url: https://ejje.weblio.jp/content/narrow%20definition,meaning_ja
narrow range of,狭い範囲の,The new policy targets a narrow range of specific industries.,新しい政策は、特定の産業の狭い範囲を対象としています。,https://ejje.weblio.jp/content/narrow%20range%20of,404 Client Error: 404 for url: https://ejje.weblio.jp/content/narrow%20range%20of,meaning_ja
national average,全国平均,The regional unemployment rate is below the national average.,その地域の失業率は全国平均を下回っています。,https://ejje.weblio.jp/content/national%20average,,
national boundary,国境,Many environmental issues transcend a single national boundary.,多くの環境問題は、単一の国境を越えています。,https://ejje.weblio.jp/content/national%20boundary,404 Client Error: 404 for url: https://ejje.weblio.jp/content/national%20boundary,meaning_ja
national conference,全国大会,Academics from across the country attended the national conference on AI ethics.,全国の学者たちがAI倫理に関する全国大会に出席しました。,https://ejje.weblio.jp/content/national%20conference,,
national culture,民族文化,Understanding national culture is crucial for successful international business ventures.,国民文化を理解することは、国際的なビジネスベンチャーを成功させる上で不可欠です。,https://ejje.weblio.jp/content/national%20culture,,
national economy,国民経済,Government policies aim to strengthen the national economy and promote sustainable growth.,政府の政策は、国民経済を強化し、持続可能な成長を促進することを目指しています。,https://ejje.weblio.jp/content/national%20economy,,
national government,国,The national government is responsible for providing essential public services to its citizens.,国は国民に不可欠な公共サービスを提供する責任があります。,https://ejje.weblio.jp/content/national%20government,,
national identity,国民的アイデンティティ,Language plays a crucial role in shaping a nation's cultural and national identity.,言語は、国家の文化的および国民的アイデンティティを形成する上で重要な役割を果たします。,https://ejje.weblio.jp/content/national%20identity,,meaning_ja
national income,国民所得,Economists analyze national income data to assess a country's economic health and progress.,経済学者は、国の経済状況と進捗を評価するために国民所得データを分析します。,https://ejje.weblio.jp/content/national%20income,,meaning_ja
national institution,国立機関,"The library is a significant national institution, preserving knowledge for future generations.",その図書館は、将来の世代のために知識を保存する重要な国立機関です。,https://ejje.weblio.jp/content/national%20institution,404 Client Error: 404 for url: https://ejje.weblio.jp/content/national%20institution,meaning_ja
national interest,ナショナルインタレスト; 国益,Diplomatic negotiations often prioritize actions that serve the national interest.,外交交渉では、国益に資する行動がしばしば優先されます。,https://ejje.weblio.jp/content/national%20interest,,
national language,国語,Promoting the national language is vital for cultural unity and communication.,国語の振興は、文化的な統一とコミュニケーションにとって不可欠です。,https://ejje.weblio.jp/content/national%20language,,
national legislation,国内法,New national legislation was passed to address environmental protection concerns.,環境保護の懸念に対処するため、新たな国内法が可決されました。,https://ejje.weblio.jp/content/national%20legislation,404 Client Error: 404 for url: https://ejje.weblio.jp/content/national%20legislation,meaning_ja
national market,国内市場,Many businesses aim to expand their reach across the entire national market.,多くの企業は、国内市場全体にわたって事業を拡大することを目指しています。,https://ejje.weblio.jp/content/national%20market,,
national media,全国メディア,The national media extensively covered the recent political developments.,全国メディアは最近の政治動向を大々的に報じました。,https://ejje.weblio.jp/content/national%20media,404 Client Error: 404 for url: https://ejje.weblio.jp/content/national%20media,meaning_ja
national movement,国民運動,The human rights campaign grew into a powerful national movement for social change.,その人権キャンペーンは、社会変革のための強力な国民運動へと発展しました。,https://ejje.weblio.jp/content/national%20movement,,
national policy,国策; 国是; 国家施策; 国家政策,Education is a key area of national policy for long-term societal development.,教育は、長期的な社会発展のための重要な国策分野です。,https://ejje.weblio.jp/content/national%20policy,,
national press,全国紙,"The story was picked up by the national press, bringing it widespread attention.",その話は全国紙に取り上げられ、広く注目を集めました。,https://ejje.weblio.jp/content/national%20press,,meaning_ja
national security,安全保障; ナショナル・セキュリティー,Maintaining national security is a primary responsibility of any government.,国家の安全保障を維持することは、いかなる政府にとっても主要な責任です。,https://ejje.weblio.jp/content/national%20security,,
national survey,全国調査,A national survey revealed significant public opinion trends on various issues.,全国調査により、様々な問題に関する世論の重要な傾向が明らかになりました。,https://ejje.weblio.jp/content/national%20survey,404 Client Error: 404 for url: https://ejje.weblio.jp/content/national%20survey,meaning_ja
native speaker,母国語話者、ネイティブスピーカー,Learning from a native speaker can significantly improve pronunciation and fluency.,ネイティブスピーカーから学ぶことで、発音と流暢さが大幅に向上します。,https://ejje.weblio.jp/content/native%20speaker,,
natural conditions,自然条件,"Plants adapt to survive under various natural conditions, such as climate and soil.",植物は、気候や土壌などの様々な自然条件の下で生き残るために適応します。,https://ejje.weblio.jp/content/natural%20conditions,,
natural disaster,自然災害,Regions prone to natural disaster require robust emergency preparedness plans.,自然災害に見舞われやすい地域では、堅牢な緊急準備計画が必要です。,https://ejje.weblio.jp/content/natural%20disaster,,
natural environment,自然環境,Protecting the natural environment is crucial for biodiversity and human well-being.,自然環境を保護することは、生物多様性と人類の幸福にとって極めて重要です。,https://ejje.weblio.jp/content/natural%20environment,,
natural history,博物学、博物誌,The museum exhibits fascinating artifacts related to the natural history of the region.,その博物館は、この地域の博物学に関連する魅力的な遺物を展示しています。,https://ejje.weblio.jp/content/natural%20history,,
natural language,自然言語; 自然語,Artificial intelligence systems are increasingly capable of processing and understanding natural language.,人工知能システムは、自然言語を処理し理解する能力をますます高めています。,https://ejje.weblio.jp/content/natural%20language,,
natural law,自然の理法、自然律、天理、自然法,The concept of natural law has influenced legal philosophy for centuries.,自然法の概念は、何世紀にもわたり法哲学に影響を与えてきました。,https://ejje.weblio.jp/content/natural%20law,,
natural order,自然の摂理,Many ancient cultures believed in a divine or natural order governing the universe.,多くの古代文化は、宇宙を支配する神聖な、あるいは自然の摂理を信じていました。,https://ejje.weblio.jp/content/natural%20order,,meaning_ja
natural philosophy,自然哲学,Isaac Newton's work was a cornerstone of what was then called natural philosophy.,アイザック・ニュートンの研究は、当時の自然哲学の基礎となりました。,https://ejje.weblio.jp/content/natural%20philosophy,,
natural process,自然過程,Erosion is a slow but continuous natural process that shapes landscapes over time.,浸食は、時間をかけて景観を形成する、遅いが連続的な自然過程です。,https://ejje.weblio.jp/content/natural%20process,,
natural resources,天然資源,Sustainable management of natural resources is essential for future generations.,天然資源の持続可能な管理は、将来の世代にとって不可欠です。,https://ejje.weblio.jp/content/natural%20resources,,
natural right,自然権,The concept of natural right asserts that certain rights are inherent to human beings.,自然権の概念は、特定の権利が人間に固有のものであると主張します。,https://ejje.weblio.jp/content/natural%20right,,
natural science,自然科学,"Physics, chemistry, and biology are core disciplines within natural science.",物理学、化学、生物学は自然科学の中核分野です。,https://ejje.weblio.jp/content/natural%20science,,
natural tendency,自然の勢い,Humans have a natural tendency to seek patterns and make connections.,人間には、パターンを求め、つながりを作るという自然の勢いがあります。,https://ejje.weblio.jp/content/natural%20tendency,,
natural world,自然界,Understanding the natural world helps us appreciate its complexity and beauty.,自然界を理解することは、その複雑さと美しさを評価するのに役立ちます。,https://ejje.weblio.jp/content/natural%20world,,
naturally occurring,自然起源の、天然起源の、自然発生の,Many minerals are naturally occurring compounds found deep within the Earth's crust.,多くの鉱物は、地殻の奥深くに存在する自然起源の化合物です。,https://ejje.weblio.jp/content/naturally%20occurring,,
necessary information,必要な情報,Please provide all necessary information to complete the application form accurately.,申請書を正確に完成させるために、必要な情報をすべて提供してください。,https://ejje.weblio.jp/content/necessary%20information,,
negative aspect,マイナス面,"Every decision has a positive and a negative aspect, requiring careful consideration.",どんな決定にもプラスとマイナスの側面があり、慎重な検討が必要です。,https://ejje.weblio.jp/content/negative%20aspect,,
negative attitude,消極的な態度,A negative attitude can hinder progress and affect team morale significantly.,消極的な態度は、進歩を妨げ、チームの士気に大きく影響する可能性があります。,https://ejje.weblio.jp/content/negative%20attitude,,
negative connotation,否定的な意味合い,"Some words carry a negative connotation, even if their literal meaning is neutral.",いくつかの単語は、文字通りの意味が中立であっても、否定的な意味合いを帯びています。,https://ejje.weblio.jp/content/negative%20connotation,,meaning_ja
negative consequences,しわ寄せ、シワ寄せ、皺寄せ,Ignoring climate change will undoubtedly lead to severe negative consequences globally.,気候変動を無視することは、間違いなく世界的に深刻なしわ寄せをもたらすでしょう。,https://ejje.weblio.jp/content/negative%20consequences,,
negative correlation,負相関,There is a negative correlation between hours of sleep and stress levels.,睡眠時間とストレスレベルの間には負の相関があります。,https://ejje.weblio.jp/content/negative%20correlation,,
negative effect,マイナス効果,Pollution has a significant negative effect on public health and ecosystems.,汚染は公衆衛生と生態系に大きなマイナス効果をもたらします。,https://ejje.weblio.jp/content/negative%20effect,,
negative feedback,負のフィードバック、ネガティブフィードバック、負帰還,The system uses negative feedback to maintain stability and regulate its output.,そのシステムは、安定性を維持し、出力を調整するために負のフィードバックを使用します。,https://ejje.weblio.jp/content/negative%20feedback,,
negative impact,悪影響,Deforestation has a severe negative impact on biodiversity and climate regulation.,森林伐採は、生物多様性と気候調節に深刻な悪影響を及ぼします。,https://ejje.weblio.jp/content/negative%20impact,,
negative outcome,悪い結果,Poor planning often leads to a negative outcome in complex projects.,不十分な計画は、複雑なプロジェクトにおいてしばしば悪い結果につながります。,https://ejje.weblio.jp/content/negative%20outcome,404 Client Error: 404 for url: https://ejje.weblio.jp/content/negative%20outcome,meaning_ja
negative side,マイナス面,It's important to consider the negative side of any proposal before making a decision.,決定を下す前に、どんな提案のマイナス面も考慮することが重要です。,https://ejje.weblio.jp/content/negative%20side,,
negative stereotype,否定的な固定観念,Education can help challenge and overcome a negative stereotype about certain groups.,教育は、特定の集団に関する否定的な固定観念に異議を唱え、克服するのに役立ちます。,https://ejje.weblio.jp/content/negative%20stereotype,404 Client Error: 404 for url: https://ejje.weblio.jp/content/negative%20stereotype,meaning_ja
negative value,負値,"In some financial models, a negative value indicates a loss or debt.",一部の財務モデルでは、負値は損失または負債を示します。,https://ejje.weblio.jp/content/negative%20value,,
negative view,反対論,"Despite some critics holding a negative view, the project moved forward successfully.",一部の批評家が反対論を抱いていたにもかかわらず、プロジェクトは成功裏に進みました。,https://ejje.weblio.jp/content/negative%20view,,
negatively correlated with,…と負の相関関係にある,Exercise frequency is often negatively correlated with the risk of chronic diseases.,運動頻度は、慢性疾患のリスクと負の相関関係にあることが多いです。,https://ejje.weblio.jp/content/negatively%20correlated%20with,404 Client Error: 404 for url: https://ejje.weblio.jp/content/negatively%20correlated%20with,meaning_ja
new initiative,新しい取り組み,The company launched a new initiative to promote employee wellness and productivity.,その会社は、従業員の健康と生産性を促進するための新しい取り組みを開始しました。,https://ejje.weblio.jp/content/new%20initiative,,
new insight,新展開,This research offers a new insight into the complex dynamics of social networks.,この研究は、ソーシャルネットワークの複雑な力学に新たな洞察を提供します。,https://ejje.weblio.jp/content/new%20insight,,
new perspective,新たな視点,The study provides a new perspective on the historical events of the era.,その研究は、その時代の歴史的出来事について新たな視点を提供します。,https://ejje.weblio.jp/content/new%20perspective,,
newly acquired,新たに取得した,The museum proudly displayed its newly acquired collection of ancient artifacts.,その博物館は、新たに取得した古代遺物のコレクションを誇らしげに展示しました。,https://ejje.weblio.jp/content/newly%20acquired,404 Client Error: 404 for url: https://ejje.weblio.jp/content/newly%20acquired,meaning_ja
newly created,新しく作成された,The newly created department will focus on innovation and technological advancement.,新しく作成された部署は、イノベーションと技術進歩に焦点を当てます。,https://ejje.weblio.jp/content/newly%20created,,meaning_ja
newly discovered,新たに発見された,Scientists are excited about the newly discovered species in the rainforest.,科学者たちは、熱帯雨林で新たに発見された種に興奮しています。,https://ejje.weblio.jp/content/newly%20discovered,404 Client Error: 404 for url: https://ejje.weblio.jp/content/newly%20discovered,meaning_ja
newly emerging,新たに台頭しつつある,The conference will address challenges posed by newly emerging technologies.,その会議では、新たに台頭しつつある技術がもたらす課題に対処します。,https://ejje.weblio.jp/content/newly%20emerging,404 Client Error: 404 for url: https://ejje.weblio.jp/content/newly%20emerging,meaning_ja
newly established,新設の,The newly established research center aims to collaborate with international partners.,新設の研究センターは、国際的なパートナーとの協力を目指しています。,https://ejje.weblio.jp/content/newly%20established,,
newly formed,新しく形成された；新しく作られた,The newly formed committee will oversee the implementation of the new regulations.,新しく形成された委員会は、新しい規制の実施を監督します。,https://ejje.weblio.jp/content/newly%20formed,,
next decade,今後10年間,Experts predict significant changes in the global economy over the next decade.,専門家は、今後10年間で世界経済に大きな変化があると予測しています。,https://ejje.weblio.jp/content/next%20decade,,meaning_ja
next generation,次世代型、次世代の,Educating the next generation is crucial for societal progress and innovation.,次世代を教育することは、社会の進歩とイノベーションにとって極めて重要です。,https://ejje.weblio.jp/content/next%20generation,,
next phase,次の段階,The project is now ready to move into its next phase of development.,プロジェクトは現在、次の段階の開発へと進む準備ができています。,https://ejje.weblio.jp/content/next%20phase,404 Client Error: 404 for url: https://ejje.weblio.jp/content/next%20phase,meaning_ja
normal conditions,基準状態,"The equipment operates efficiently under normal conditions, but needs maintenance.",その機器は基準状態では効率的に動作しますが、メンテナンスが必要です。,https://ejje.weblio.jp/content/normal%20conditions,,
normal development,正常発生,Proper nutrition is essential for the normal development of children.,適切な栄養は、子供たちの正常な発育に不可欠です。,https://ejje.weblio.jp/content/normal%20development,,
normal distribution,正規分布,"Many natural phenomena, like human height, follow a normal distribution.",人間の身長のように、多くの自然現象は正規分布に従います。,https://ejje.weblio.jp/content/normal%20distribution,,
normal practice,常道,It is normal practice to back up important data regularly.,重要なデータを定期的にバックアップすることは常道です。,https://ejje.weblio.jp/content/normal%20practice,,
notable exception,特筆すべき例外,"Most rules have exceptions, but this case is a notable exception.",ほとんどの規則には例外がありますが、このケースは特筆すべき例外です。,https://ejje.weblio.jp/content/notable%20exception,404 Client Error: 404 for url: https://ejje.weblio.jp/content/notable%20exception,meaning_ja
nuclear energy,核エネルギー,Nuclear energy can provide a large amount of electricity with low carbon emissions.,核エネルギーは、低炭素排出で大量の電力を供給できます。,https://ejje.weblio.jp/content/nuclear%20energy,,
nuclear family,核家族,The concept of the nuclear family has evolved significantly over time.,核家族という概念は、時間をかけて大きく進化してきました。,https://ejje.weblio.jp/content/nuclear%20family,,
nuclear power,原子力,Debates continue regarding the safety and future of nuclear power generation.,原子力発電の安全性と将来に関する議論は続いています。,https://ejje.weblio.jp/content/nuclear%20power,,
nuclear war,核戦争,Preventing nuclear war remains a top priority for international diplomacy.,核戦争の防止は、国際外交にとって最優先事項であり続けています。,https://ejje.weblio.jp/content/nuclear%20war,,
nuclear weapon,核兵器,Efforts are made to reduce the proliferation of nuclear weapon technology worldwide.,核兵器技術の世界的拡散を減らすための努力がなされています。,https://ejje.weblio.jp/content/nuclear%20weapon,,
numerical data,数値データ,Researchers collected extensive numerical data for statistical analysis.,研究者たちは、統計分析のために広範な数値データを収集しました。,https://ejje.weblio.jp/content/numerical%20data,,
numerical value,数値,Each variable in the experiment was assigned a specific numerical value.,実験における各変数には、特定の数値が割り当てられました。,https://ejje.weblio.jp/content/numerical%20value,,
numerous studies,数多くの研究,Numerous studies have confirmed the positive correlation between exercise and health.,数多くの研究が、運動と健康の間の正の相関関係を確認しています。,https://ejje.weblio.jp/content/numerous%20studies,404 Client Error: 404 for url: https://ejje.weblio.jp/content/numerous%20studies,meaning_ja
objective criteria,客観的基準,Decisions should be based on objective criteria rather than personal bias.,決定は、個人的な偏見ではなく客観的基準に基づいて行われるべきです。,https://ejje.weblio.jp/content/objective%20criteria,404 Client Error: 404 for url: https://ejje.weblio.jp/content/objective%20criteria,meaning_ja
objective reality,客観的実在,Science aims to understand and describe the objective reality of the universe.,科学は、宇宙の客観的実在を理解し記述することを目指します。,https://ejje.weblio.jp/content/objective%20reality,,
obtain data,データを取る,Researchers plan to obtain data through surveys and experimental observations.,研究者たちは、調査と実験的観察を通じてデータを取ることを計画しています。,https://ejje.weblio.jp/content/obtain%20data,,
obtain information,情報を入手する,It is crucial to obtain information from reliable sources for accurate reporting.,正確な報告のためには、信頼できる情報源から情報を入手することが極めて重要です。,https://ejje.weblio.jp/content/obtain%20information,,
obtain a result,結果を得る,Scientists conducted several trials to obtain a consistent result.,科学者たちは、一貫した結果を得るためにいくつかの試行を行いました。,https://ejje.weblio.jp/content/obtain%20a%20result,404 Client Error: 404 for url: https://ejje.weblio.jp/content/obtain%20a%20result,meaning_ja
obvious difference,明らかな違い,There is an obvious difference in quality between the two products.,2つの製品の間には、明らかな違いがあります。,https://ejje.weblio.jp/content/obvious%20difference,404 Client Error: 404 for url: https://ejje.weblio.jp/content/obvious%20difference,meaning_ja
obvious example,明らかな例,Pollution is an obvious example of human impact on the environment.,汚染は、人間が環境に与える影響の明らかな例です。,https://ejje.weblio.jp/content/obvious%20example,404 Client Error: 404 for url: https://ejje.weblio.jp/content/obvious%20example,meaning_ja
obvious point,当たり前のこと,It's an obvious point that sustainability is important for future generations.,持続可能性が将来の世代にとって重要であることは当たり前のことです。,https://ejje.weblio.jp/content/obvious%20point,404 Client Error: 404 for url: https://ejje.weblio.jp/content/obvious%20point,meaning_ja
obvious reason,明白な理由,"For some obvious reason, the experiment did not yield the expected outcomes.",何か明白な理由で、その実験は期待された結果をもたらしませんでした。,https://ejje.weblio.jp/content/obvious%20reason,404 Client Error: 404 for url: https://ejje.weblio.jp/content/obvious%20reason,meaning_ja
occur frequently,良くある、頻発する、〈事故などが〉・多発する、頻出する,Errors in data entry can occur frequently if quality control is lacking.,品質管理が不十分な場合、データ入力のエラーは頻繁に起こります。,https://ejje.weblio.jp/content/occur%20frequently,,
occur naturally,自然に起こる,Many beneficial compounds occur naturally in various plant species.,多くの有益な化合物は、様々な植物種に自然に起こります。,https://ejje.weblio.jp/content/occur%20naturally,404 Client Error: 404 for url: https://ejje.weblio.jp/content/occur%20naturally,meaning_ja
offer insight into,..... ～は … に洞察を加えている,This study offers insight into the complex mechanisms of disease progression.,この研究は、病気の進行の複雑なメカニズムに洞察を加えます。,https://ejje.weblio.jp/content/offer%20insight%20into,,
offer an opportunity,機会を提供する,The conference will offer an opportunity for networking and collaboration.,その会議は、ネットワーキングと協力の機会を提供するでしょう。,https://ejje.weblio.jp/content/offer%20an%20opportunity,404 Client Error: 404 for url: https://ejje.weblio.jp/content/offer%20an%20opportunity,meaning_ja
official statistics,官庁統計,Government policies are often formulated based on official statistics.,政府の政策は、しばしば官庁統計に基づいて策定されます。,https://ejje.weblio.jp/content/official%20statistics,,
